NAMESHORT_SB;NAME_SB;URL_SB;URL_NN;NAME_NORDNET;NAMESHORT_NORDNET;MARKET_ID;IDENTIFIER_ID;GROUP_BUY
G5EN.ST;G5 ENTERTAINMENT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=G5EN.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=60158&marketid=11;G5 Entertainment AB;G5EN;11;60158;GROUP 1_mediumRisk
BIM.ST;BIMOBJECT;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BIM.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=99204&marketid=11;BIMobject AB;BIM;11;99204;GROUP 1_mediumRisk
PROB.ST;PROBI AB;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PROB.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=27701&marketid=11;Probi AB;PROB;11;27701;GROUP 1_mediumRisk
BEGR.ST;BE GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=BEGR.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=37309&marketid=11;BE Group AB;BEGR;11;37309;GROUP 1_mediumRisk
ACTI.ST;ACTIVE BIOTECH;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ACTI.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=877&marketid=11;Active Biotech AB;ACTI;11;877;GROUP 2_highRisk
NXTMS.ST;NEXSTIM;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=NXTMS.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=103571&marketid=11;Nexstim Oyj;NXTMS;11;103571;GROUP 1_mediumRisk
MEDR-B.ST;MEDIRATT B;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MEDR-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=81251&marketid=11;MediRätt AB;MEDR B;11;81251;GROUP 2_highRisk
EOID.NGM;EYEONID GROUP;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=EOID.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3EBY&marketid=13;Eyeonid Group;EOID MTF;13;3EBY;GROUP 1_mediumRisk
IBT-B.ST;INFANT BACTERIAL THERAPEUTICS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=IBT-B.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=120381&marketid=11;Infant Bacterial Therapeutics AB ser. B;IBT B;11;120381;GROUP 1_mediumRisk
PIEZO.ST;PIEZOMOTOR UPPSALA;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PIEZO.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=123299&marketid=11;PiezoMotor Uppsala AB;PIEZO;11;123299;GROUP 1_mediumRisk
ONCO.ST;ONCOPEPTIDES;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ONCO.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=133615&marketid=11;Oncopeptides AB;ONCO;11;133615;GROUP 1_mediumRisk
HEMC.ST;HEMCHECK SWEDEN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HEMC.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135098&marketid=11;Hemcheck Sweden AB;HEMC;11;135098;GROUP 1_mediumRisk
ISR.ST;ISR IMMUNE SYSTEM REGULATION HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=ISR.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=135384&marketid=11;ISR Immune System Regulation Holding AB;ISR;11;135384;GROUP 1_mediumRisk
HOYLU.ST;HOYLU;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=HOYLU.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=133092&marketid=11;Hoylu AB;HOYLU;11;133092;GROUP 1_mediumRisk
PRLD.NGM;PROLIGHT DIAGNOSTICS;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=PRLD.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=3NT5&marketid=13;Prolight Diagnostics;PRLD MTF;13;3NT5;GROUP 1_mediumRisk
SAVOS.ST;SAVO SOLAR;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=SAVOS.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=108026&marketid=11;Savosolar Plc;SAVOS;11;108026;GROUP 2_highRisk
DIVI-B.NGM;DIVIDEND SWEDEN;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=DIVI-B.NGM;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=33RG&marketid=13;Dividend Sweden B;DIVI MTF B;13;33RG;GROUP 2_highRisk
MYFC.ST;MYFC HOLDING;https://www.swedishbulls.com/SignalPage.aspx?lang=en&Ticker=MYFC.ST;https://www.nordnet.se/mux/web/marknaden/aktiehemsidan/index.html?identifier=101187&marketid=11;myFC Holding AB;MYFC;11;101187;GROUP 2_highRisk
